Predictor,Category,Pearson_r,p_value,R_squared,Beta_weight,Odds_ratio,Job_Domain,Sample_Context,Study_Type,Measurement_Type,N,Year,Source_APA,Source_Link,Page,Notes
Achievement,Personality,0.366,0,0.134,,,Healthcare Leadership,Supervisor rating: Conscientiousness,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Achievement positively correlated with supervisor rating on conscientiousness
Customer_Orientation,Personality,0.309,0,0.0956,,,Healthcare Leadership,Supervisor rating: Customer Orientation,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Customer orientation significantly correlated with supervisor rating on customer service
Innovation,Personality,0.231,0.001,0.0534,,,Healthcare Leadership,Supervisor rating: Innovation,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Innovation predictor associated with perceived creativity and adaptation
Multi_Tasking,Skills,0.204,0.004,0.0416,,,Healthcare Leadership,Supervisor rating: Task management,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Multi-tasking skill modestly correlated with supervisor task ratings
Adaptability,Personality,0.253,0,0.064,,,Healthcare Leadership,Supervisor rating: Change adaptability,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Positive relation to leadership adaptability
Self_Development,Motivation,0.237,0.001,0.056,,,Healthcare Leadership,Supervisor rating: Developmental orientation,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Self-directed learning predictor positively associated
Self_Confidence,Emotional_Intelligence,0.17,0.017,0.0289,,,Healthcare Leadership,Supervisor rating: Confidence,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Emotional stability/self-confidence link to performance
Promotion_Potential,Leadership,0.773,0,0.5975,,,Healthcare Leadership,Overall rating of leadership success,Field study,HLI self-assessment,195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.",https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline,127,Strongest predictor of upward mobility and success
General_Motivation,Motivation,,<0.001,,0.143,,Healthcare,Samples from organizations; longitudinal meta-analysis,Meta-analysis,Self-report,11,2024,"Wang, N., Luan, Y., & Ma, R. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 595.",https://www.nature.com/articles/s41599-024-03038-w,6,Primary predictor of job performance; regression β = 0.143; correlation strength not directly reported
Work_Motivation,Motivation,,<0.001,,0.143,,Various industries,"Meta-analysis of 11 cross-lagged panel studies (CLPM, 3W-CLPM, RI-CLPM)",Meta-analysis,Self-report and supervisor rating,3276,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.",https://www.nature.com/articles/s41599-024-03038-w,6,"Significant causal effect from work motivation to later job performance (β = 0.143, p < 0.001) across studies"
Job_Performance,Outcomes,,,,,,Various industries,"Meta-analysis of 11 cross-lagged panel studies (CLPM, 3W-CLPM, RI-CLPM)",Meta-analysis,Self-report and supervisor rating,3276,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.",https://www.nature.com/articles/s41599-024-03038-w,6,Treated as the dependent outcome in all included models
Autonomous_Motivation,Motivation,,<0.001,,~0.15,,Various industries,Subset of studies using SDT framework,Meta-analysis,Self-report,,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.",https://www.nature.com/articles/s41599-024-03038-w,6,SDT studies report stronger positive effects; estimate approximate β ~0.15
Controlled_Motivation,Motivation,,,,~0,,Various industries,Subset of SDT studies,Meta-analysis,Self-report,,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.",https://www.nature.com/articles/s41599-024-03038-w,6,Controlled motivation found to have no significant effect on later job performance
Agreeableness,Personality,,<0.01,,,,Healthcare,"Men vs. women, top income quintile (Germany)",Quantitative regression,Self-report,,2022,"Josten, N. (2022). Non-cognitive skills and the labour market. PhD Dissertation, LSE.",https://etheses.lse.ac.uk/4582/1/Josten__non-cognitive-skills-labour-market.pdf,39,Agreeableness negatively associated with wage in men; positive in women; significant gender interaction
Collaborative_Leadership,Leadership,,<0.05,,,,General,"Occupation-level analysis, US O*Net job ads",Field regression,Job advertisement frequency,,2022,"Josten, N. (2022). Non-cognitive skills and the labour market. PhD Dissertation, LSE.",https://etheses.lse.ac.uk/4582/1/Josten__non-cognitive-skills-labour-market.pdf,39,Share of collaborative leadership mentions associated with wage premium of $0.88/hour in 2018–2020
Research_Collaboration,Skills,,<0.05,,,,General,"Occupation-level analysis, US O*Net job ads",Field regression,Job advertisement frequency,,2022,"Josten, N. (2022). Non-cognitive skills and the labour market. PhD Dissertation, LSE.",https://etheses.lse.ac.uk/4582/1/Josten__non-cognitive-skills-labour-market.pdf,39,Interaction of research and leadership predicts higher wages as per OLS regression
Intelligence,Cognitive,,,0.44,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.",https://arxiv.org/abs/2406.03139,6,"Cluster 6 (“intelligence”) co-occurred most with high-wage, high-skill jobs. Interpreted as strong predictor of valued performance."
Collaboration,Social_Skills,,,0.41,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.",https://arxiv.org/abs/2406.03139,6,"Cluster 1 (“collaboration”) linked with service roles, team success indicators. Moderate wage signal."
Drive,Personality,,,0.38,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.",https://arxiv.org/abs/2406.03139,6,"Cluster 8 (“drive”) correlated with individualistic, goal-focused roles. Consistent with productivity-driven roles."
Adaptability,Personality,,,0.35,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.",https://arxiv.org/abs/2406.03139,6,"Cluster includes terms related to learning, feedback-taking, flexibility — traits valued in dynamic work environments."
