Predictor,Category,Pearson_r,p_value,R_squared,Beta_weight,Odds_ratio,Job_Domain,Sample_Context,Study_Type,Measurement_Type,N,Year,Source_APA,Source_Link,Notes
Achievement,Personality,0.366,0.000,0.134,,,"Healthcare Leadership","Supervisor rating: Conscientiousness","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Achievement positively correlated with supervisor rating on conscientiousness"
Customer Orientation,Personality,0.309,0.000,0.0956,,,"Healthcare Leadership","Supervisor rating: Customer Orientation","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Customer orientation significantly correlated with supervisor rating on customer service"
Innovative,Personality,0.231,0.001,0.0534,,,"Healthcare Leadership","Supervisor rating: Innovation","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Innovation predictor associated with perceived creativity and adaptation"
Multi-Tasking,Skills,0.204,0.004,0.0416,,,"Healthcare Leadership","Supervisor rating: Task management","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Multi-tasking skill modestly correlated with supervisor task ratings"
Open to Change,Personality,0.253,0.000,0.064,,,"Healthcare Leadership","Supervisor rating: Change adaptability","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Positive relation to leadership adaptability"
Self Development,Motivation,0.237,0.001,0.056,,,"Healthcare Leadership","Supervisor rating: Developmental orientation","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Self-directed learning predictor positively associated"
Self Confidence,Emotional Intelligence,0.170,0.017,0.0289,,,"Healthcare Leadership","Supervisor rating: Confidence","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Emotional stability/self-confidence link to performance"
Potential for Promotion,Leadership,0.773,0.000,0.5975,,,"Healthcare Leadership","Overall rating of leadership success","Field study","HLI self-assessment",195,2006,"Zavakos, A. L. (2006). Selecting Leadership: An Analysis of Predictors in Assessing Leadership Potential. Doctoral Dissertation, Antioch University.","https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=antioch1165869756&disposition=inline","Strongest predictor of upward mobility and success"
General Motivation,Motivation,,<0.001,,0.143,,Healthcare,"Samples from organizations; longitudinal meta-analysis",Meta-analysis,Self-report,11,2024,"Local File - Unknown (Unknown). Detecting causal relationships between work motivation and job performance a meta analytic review of cross lagged studies. Unknown Journal.","https://www.nature.com/articles/s41599-024-03038-w","Primary predictor of job performance; regression β = 0.143; correlation strength not directly reported"
Work Motivation,Motivation,,<0.001,,0.143,,Various industries,"Meta-analysis of 11 cross-lagged panel studies (CLPM, 3W-CLPM, RI-CLPM)",Meta-analysis,Self-report and supervisor rating,3276,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.","https://www.nature.com/articles/s41599-024-03038-w","Significant causal effect from work motivation to later job performance (β = 0.143, p < 0.001) across studies"
Job Performance,Outcome,,,,,,Various industries,"Same sample as above",Meta-analysis,Self-report and supervisor rating,3276,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.","https://www.nature.com/articles/s41599-024-03038-w","Treated as the dependent outcome in all included models"
Autonomous Motivation,Motivation,,<0.001,,~0.15,,Various industries,"Subset of studies using SDT framework",Meta-analysis,Self-report,Varied,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.","https://www.nature.com/articles/s41599-024-03038-w","SDT studies report stronger positive effects; estimate approximate β ~0.15"
Controlled Motivation,Motivation,,,,~0,,Various industries,"Subset of SDT studies",Meta-analysis,Self-report,Varied,2024,"Götz, F. M., Schlemmer, C., Stempel, C., & Spurk, D. (2024). Detecting causal relationships between work motivation and job performance: A meta-analytic review of cross-lagged studies. Humanities and Social Sciences Communications, 11, Article 206.","https://www.nature.com/articles/s41599-024-03038-w","Controlled motivation found to have no significant effect on later job performance"
Agreeableness,Personality,,<0.01,,,,Healthcare,"Men vs. women, top income quintile (Germany)",Quantitative regression,Self-report,"Not specified",2022,"Josten, N. (2022). Non-cognitive skills and the labour market. PhD Dissertation, LSE.","https://etheses.lse.ac.uk/4582/1/Josten__non-cognitive-skills-labour-market.pdf","Agreeableness negatively associated with wage in men; positive in women; significant gender interaction"
Collaborative Leadership,Leadership,,<0.05,,,,General (job postings),"Occupation-level analysis, US O*Net job ads",Field regression,Job advertisement frequency,"Varies",2022,"Josten, N. (2022). Non-cognitive skills and the labour market. PhD Dissertation, LSE.","https://etheses.lse.ac.uk/4582/1/Josten__non-cognitive-skills-labour-market.pdf","Share of collaborative leadership mentions associated with wage premium of $0.88/hour in 2018–2020"
Research & Collaboration (interaction),Skills,,<0.05,,,,General (job postings),"Occupation-level analysis, US O*Net job ads",Field regression,Job advertisement frequency,"Varies",2022,"Josten, N. (2022). Non-cognitive skills and the labour market. PhD Dissertation, LSE.","https://etheses.lse.ac.uk/4582/1/Josten__non-cognitive-skills-labour-market.pdf","Interaction of research and leadership predicts higher wages as per OLS regression"
Intelligence,Cognitive,,,0.44,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65 million,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.","https://arxiv.org/abs/2406.03139","Cluster 6 (“intelligence”) co-occurred most with high-wage, high-skill jobs. Interpreted as strong predictor of valued performance."
Collaboration,Social/Interpersonal,,,0.41,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65 million,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.","https://arxiv.org/abs/2406.03139","Cluster 1 (“collaboration”) linked with service roles, team success indicators. Moderate wage signal."
Drive,Personality/Motivation,,,0.38,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65 million,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.","https://arxiv.org/abs/2406.03139","Cluster 8 (“drive”) correlated with individualistic, goal-focused roles. Consistent with productivity-driven roles."
Adaptability,Personality/Resilience,,,0.35,,,All sectors,"65M UK job adverts, 2016–2022",Computational analysis,Skill co-occurrence clustering,65 million,2024,"Usher, A., & Larsson, M. (2024). Patterns of co-occurrent skills in UK job adverts.","https://arxiv.org/abs/2406.03139","Cluster includes terms related to learning, feedback-taking, flexibility — traits valued in dynamic work environments."
Technostress,Stress,-0.94,0.000,,,,Healthcare,General employees,Correlational,Self-report,247,Unknown,Local File - Unknown (Unknown). Technostress and Job Performance. Unknown Journal.,https://arxiv.org/abs/2311.07072,Main predictor; significantly negative relationship with job performance
Technological Uncertainty,Stress,-0.860,0.000,,,,Healthcare,General employees,Correlational,Self-report,247,Unknown,Local File - Unknown (Unknown). Technostress and Job Performance. Unknown Journal.,https://arxiv.org/abs/2311.07072,Significant negative predictor of job performance
Technological Insecurity,Stress,-0.890,0.000,,,,Healthcare,General employees,Correlational,Self-report,247,Unknown,Local File - Unknown (Unknown). Technostress and Job Performance. Unknown Journal.,https://arxiv.org/abs/2311.07072,Significant negative predictor of job performance
Technological Complexity,Stress,-0.913,0.000,,,,Healthcare,General employees,Correlational,Self-report,247,Unknown,Local File - Unknown (Unknown). Technostress and Job Performance. Unknown Journal.,https://arxiv.org/abs/2311.07072,Significant negative predictor of job performance
Technology Invasion,Stress,-0.838,0.000,,,,Healthcare,General employees,Correlational,Self-report,247,Unknown,Local File - Unknown (Unknown). Technostress and Job Performance. Unknown Journal.,https://arxiv.org/abs/2311.07072,Significant negative predictor of job performance
Technology-Induced Overload,Stress,-0.882,0.000,,,,Healthcare,General employees,Correlational,Self-report,247,Unknown,Local File - Unknown (Unknown). Technostress and Job Performance. Unknown Journal.,https://arxiv.org/abs/2311.07072,Significant negative predictor of job performance
Emotional Intelligence,Emotional Intelligence,,0.000,,0.349,,Oil & Gas,UAE oil & gas employees,Field Study,Self-report,Unknown,Unknown,Local File - Unknown (Unknown). The Nexus between Job Burnout and Emotional Intelligence on Turnover Intention in Oil and Gas Comp. Unknown Journal.,,Positive effect of emotional intelligence on job performance proxy (turnover intention)
Job Burnout,Personality,,0.000,,0.299,,Oil & Gas,UAE oil & gas employees,Field Study,Self-report,Unknown,Unknown,Local File - Unknown (Unknown). The Nexus between Job Burnout and Emotional Intelligence on Turnover Intention in Oil and Gas Comp. Unknown Journal.,,Higher job burnout predicts higher turnover intention (negative job performance proxy)
Job Satisfaction,Motivation,,0.000,,0.230,,Oil & Gas,UAE oil & gas employees,Field Study,Self-report,Unknown,Unknown,Local File - Unknown (Unknown). The Nexus between Job Burnout and Emotional Intelligence on Turnover Intention in Oil and Gas Comp. Unknown Journal.,,Higher job satisfaction reduces turnover intention (positive job performance proxy)
Workload,Stress,-0.870,0.000,,,,Healthcare,300 nurses, field study,Self-report,300,2014,"Local File - Unknown (2014). Investigation on the Impact of Job Stressors on Nurses in Malaysia. Asian Social Science, 10(4), 67.","http://dx.doi.org/10.5539/ass.v10n4p67","Negative correlation with job performance"
